Title,ID
Semi-supervised analysis of myeloid and T cell behavior in <i>ex vivo</i> ovarian tumor slices reveals changes in cell motility after treatments.,37091227
Antitumor Effect of Korean Red Ginseng through Blockade of PD-1/PD-L1 Interaction in a Humanized PD-L1 Knock-In MC38 Cancer Mouse Model.,36768213
Spermidine enhances the efficacy of adjuvant in HBV vaccination in mice.,36972390
"The effects of photobiomodulation therapy on inflammatory mediators, immune infiltration, and angiogenesis in a mouse model of rosacea.",36035005
Protective anti-tumor vaccination against glioblastoma expressing the MHC class II transactivator CIITA.,36993983
Therapeutic Effect of Costunolide in Autoimmune Hepatitis: Network Pharmacology and Experimental Validation,PMC9963495
Characterization of Inflammatory Factors and T Cell Subpopulations in a Murine Model of Kawasaki Disease Induced by Candida albicans Cell Wall Extracts (CAWS).,35526108
Spatial CRISPR genomics identifies regulators of the tumor microenvironment.,35290801
A pan-variant mRNA-LNP T cell vaccine protects HLA transgenic mice from mortality after infection with SARS-CoV-2 Beta,10.1101/2022.09.23.509206
KRP-203 Is a Desirable Immunomodulator for Islet Allotransplantation.,34241985
HBV Infection-Related <i>PDZK1</i> Plays an Oncogenic Role by Regulating the PI3K-Akt Pathway and Fatty Acid Metabolism and Enhances Immunosuppression.,36052278
"Analysis of a novel immune checkpoint, Siglec-15, in pancreatic ductal adenocarcinoma.",35083884
Circulating follicular helper T cells and subsets are associated with immune response to hepatitis B vaccination.,32614645
Treg-Dominant Tumor Microenvironment Is Responsible for Hyperprogressive Disease after PD-1 Blockade Therapy.,36169564
STAT3 in tumor fibroblasts promotes an immunosuppressive microenvironment in pancreatic cancer.,35803738
CXCL1 promotes colon cancer progression through activation of NF-κB/P300 signaling pathway.,36434686
Low ferroptosis score predicts chemotherapy responsiveness and immune-activation in colorectal cancer.,35855531
Immunobiology of a rationally-designed AAV2 capsid following intravitreal delivery in mice,10.21203/rs.3.rs-1991309/v1
Biosynthetic neoantigen displayed on bacteria derived vesicles elicit systemic antitumour immunity.,36468941
MHC class II in renal tubules plays an essential role in renal fibrosis.,34556823
