Title,ID
Comparison of therapeutic effects of mesenchymal stem cells from umbilical cord and bone marrow in the treatment of type 1 diabetes.,PMC9358877
CD69 expression on regulatory T cells protects from immune damage after myocardial infarction.,PMC9621142
Short or Long Interval between Priming and Boosting: Does It Impact on the Vaccine Immunogenicity? ,PMC8003773
The HDAC inhibitor zabadinostat is a systemic regulator of adaptive immunity.,PMC9878486
Cell-specific cargo delivery using synthetic bacterial spores.,PMC10009695
Immune response and protective efficacy of the SARS-CoV-2 recombinant spike protein vaccine S-268019-b in mice.,PMC9718471
IL-4Rα signalling in B cells and T cells play differential roles in acute and chronic atopic dermatitis.,PMC9812985
T-Cell Repertoire Analysis in the Conjunctiva of Murine Dry Eye Model.,PMC10007900
IL-12p40 is essential but not sufficient for Francisella tularensis LVS clearance in chronically infected mice.,PMC10042368
Chemokines expressed by engineered bacteria recruit and orchestrate antitumor immunity.,PMC9995032
"NRF2 Mediates Cellular Resistance to Transformation, Radiation, and Inflammation in Mice.",PMC9495793
Intestinal epithelial HDAC3 and MHC class II coordinate microbiota-specific immunity.,PMC9927950
Peptidome profiling for the immunological stratification in sepsis: a proof of concept study.,PMC9259554
Pre-existing immunity modulates responses to mRNA boosters.,PMC9928730
Contribution of CD4+ cells in the emotional alterations induced by endometriosis in mice.,PMC9596757
Interferon gamma constrains type 2 lymphocyte niche boundaries during mixed inflammation.,PMC8852844
Adjuvants influence the maturation of VRC01-like antibodies during immunization.,PMC9667313
Vaccination with a Zika virus envelope domain III protein induces neutralizing antibodies and partial protection against Asian genotype in immunocompetent mice.,PMC9721077
Flow cytometry and immunohistochemistry of the mouse dural meninges for immunological and virological assessments.,PMC9958090
CD1d-independent NK1.1<sup>+</sup> Treg cells are IL2-inducible Foxp3<sup>+</sup> T cells co-expressing immunosuppressive and cytotoxic molecules.,PMC9513232
A human STAT3 gain-of-function variant confers T cell dysregulation without predominant Treg dysfunction in mice.,PMC9675480
An adjuvant-containing cDC1-targeted recombinant fusion vaccine conveys strong protection against murine melanoma growth and metastasis.,PMC9423856
STING is an intrinsic checkpoint inhibitor that restrains the T<sub>H</sub>17 cell pathogenic program.,PMC9188824
Mice Humanized for MHC and hACE2 with High Permissiveness to SARS-CoV-2 Omicron Replication.,PMC10113602
Myeloid TLR4 signaling promotes post-injury withdrawal resolution of murine liver fibrosis.,PMC9982274
Endocytic membrane repair by ESCRT-III controls antigen export to the cytosol during antigen cross-presentation.,PMC9396532
Dynamics of the Coreceptor-LCK Interactions during T Cell Development Shape the Self-Reactivity of Peripheral CD4 and CD8 T Cells.,PMC7003063
"Caspase-8-Dependent Inflammatory Responses Are Controlled by Its Adaptor, FADD, and Necroptosis.",PMC7306001
Lysosomal Acid Lipase Is Required for Donor T Cells to Induce Graft-versus-Host Disease.,PMC7706352
Isolevuglandins disrupt PU.1-mediated C1q expression and promote autoimmunity and hypertension in systemic lupus erythematosus.,PMC9310530
Mice Humanized for Major Histocompatibility Complex and Angiotensin-Converting Enzyme 2 with High Permissiveness to SARS-CoV-2 Omicron Replication,10.1101/2022.12.01.518541
