Title,ID
Preventive effects of <i>Mycobacterium tuberculosis</i> DNA vaccines on the mouse model with latent tuberculosis infection.,36860878
Monophosphoryl Lipid A and Poly I:C Combination Adjuvant Promoted Ovalbumin-Specific Cell Mediated Immunity in Mice Model. ,34571785
Calcium Pyrophosphate Dihydrate Crystals Increase the Granulocyte/Monocyte Progenitor (GMP) and Enhance Granulocyte and Monocyte Differentiation In Vivo. ,33383835
Immunotherapeutic Effects of Different Doses of <i>Mycobacterium tuberculosis ag85a/b</i> DNA Vaccine Delivered by Electroporation.,35603155
Group 2 Innate Lymphoid Cells Are Detrimental to the Control of Infection with Francisella tularensis.,36602520
"MW‑9, a chalcones derivative bearing heterocyclic moieties, attenuates experimental autoimmune encephalomyelitis via suppressing pathogenic T<sub>H</sub>17 cells.",35959804
Chick early amniotic fluid component improves heart function and protects against inflammation after myocardial infarction in mice.,36465449
Tonic TCR Signaling Inversely Regulates the Basal Metabolism of CD4<sup>+</sup> T Cells.,32769180
A Mycobacterium tuberculosis-specific subunit vaccine that provides synergistic immunity upon co-administration with Bacillus Calmette-Guérin.,34795205
"Bone Marrow Regulatory T Cells Are a Unique Population, Supported by Niche-Specific Cytokines and Plasmacytoid Dendritic Cells, and Required for Chronic Graft-Versus-Host Disease Control.",34631716
Ageing impairs the regenerative capacity of regulatory T cells in central nervous system remyelination,10.1101/2023.01.25.525562
IL-2/JES6-1 mAb complexes dramatically increase sensitivity to LPS through IFN-γ production by CD25+Foxp3- T cells. ,34932467
Therapeutic Effects of an Anti-sialyl Lewis X Antibody in a Murine Model of Allergic Asthma. ,34576124
Endophilin A2 deficiency protects rodents from autoimmune arthritis by modulating T cell activation.,33504785
Manipulating adrenergic stress receptor signalling to enhance immunosuppression and prolong survival of vascularized composite tissue transplants.,35994413
A Genetic Mouse Model Recapitulates Immune Checkpoint Inhibitor-Associated Myocarditis and Supports a Mechanism-Based Therapeutic Intervention.,33257470
Tuning T Cell Signaling Sensitivity Alters the Behavior of CD4+ T Cells during an Immune Response.,29618523
Reversal of elastase-induced abdominal aortic aneurysm following the delivery of nanoparticle-based pentagalloyl glucose (PGG) is associated with reduced inflammatory and immune markers.,34516951
Remodels the Immunosuppressive Tumor Microenvironment by Combination of Bacillus Calmette-Guérin and Anti-PD-L1 in an Orthotopic Triple-Negative Breast Cancer Mouse Model.,33833524
"Iron Released after Cryo-Thermal Therapy Induced M1 Macrophage Polarization, Promoting the Differentiation of CD4+ T Cells into CTLs. ",34209797
Mobilized Multipotent Hematopoietic Progenitors Stabilize and Expand Regulatory T Cells to Protect Against Autoimmune Encephalomyelitis.,33424854
Eicosanoid signalling blockade protects middle-aged mice from severe COVID-19.,35314834
An anti-PD-1-GITR-L bispecific agonist induces GITR clustering-mediated T cell activation for cancer immunotherapy.,35256819
Strategies to package recombinant Adeno-Associated Virus expressing the N-terminal gasdermin domain for tumor treatment.,34887423
Short and dysfunctional telomeres protect from allergen-induced airway inflammation.,33942458
Eicosanoid signaling as a therapeutic target in middle-aged mice with severe COVID-19,10.1101/2021.04.20.440676
PD-1 Expression during Acute Infection Is Repressed through an LSD1-Blimp-1 Axis.,31811020
Phenotypic screening reveals TNFR2 as a promising target for cancer immunotherapy.,27626702
γδ T cells shape memory-phenotype αβ T cell populations in non-immunized mice.,31237933
Immune correlates of tuberculosis disease and risk translate across species.,31996462
Calcium channel ITPR2 and mitochondria-ER contacts promote cellular senescence and aging.,33526781
Murine Fibroblastic Reticular Cells From Lymph Node Interact With CD4+ T Cells Through CD40-CD40L.,25856408
Cryo-thermal therapy induces macrophage polarization for durable anti-tumor immunity.,30833570
HpARI Protein Secreted by a Helminth Parasite Suppresses Interleukin-33.,29045903
