Title,ID
An adjuvant-containing cDC1-targeted recombinant fusion vaccine conveys strong protection against murine melanoma growth and metastasis.,36046810
Pharmacological Wnt ligand inhibition overcomes key tumor-mediated resistance pathways to anti-PD-1 immunotherapy.,33951424
Control of intestinal inflammation by glycosylation-dependent lectin-driven immunoregulatory circuits. ,34144987
"NRF2 Mediates Cellular Resistance to Transformation, Radiation, and Inflammation in Mice.",36139722
The Voltage-Gated Hv1 H<sup>+</sup> Channel Is Expressed in Tumor-Infiltrating Myeloid-Derived Suppressor Cells.,37047188
Recombinant BCG expressing the LTAK63 adjuvant improves a short-term chemotherapy schedule in the control of tuberculosis in mice.,36119106
Small Molecule Enhancers of Endosome-to-Cytosol Import Augment Anti-tumor Immunity.,32668257
Systemic Injection of Oncolytic Vaccinia Virus Suppresses Primary Tumor Growth and Lung Metastasis in Metastatic Renal Cell Carcinoma by Remodeling Tumor Microenvironment. ,35052851
Versican promotes T helper 17 cytotoxic inflammation and impedes oligodendrocyte precursor cell remyelination.,35508608
Endocytic membrane repair by ESCRT-III controls antigen export to the cytosol during antigen cross-presentation.,35977488
Immunomodulatory Effects by Photodynamic Treatment of Glioblastoma Cells In Vitro.,35684322
Immune checkpoint blockade impairs immunosuppressive mechanisms of regulatory T cells in B-cell lymphoma.,34229208
"Hypomorphic Brca2 and Rad51c double mutant mice display Fanconi anemia, cancer and polygenic replication stress.",36906610
Myeloid TLR4 signaling promotes post-injury withdrawal resolution of murine liver fibrosis.,36876136
STING signaling is a potential immunotherapeutic target in colorectal cancer.,31598165
pH and Proton Sensor GPR65 Determine Susceptibility to Atopic Dermatitis.,34135065
Resolvin D1 treatment on goblet cell mucin and immune responses in the chronic allergic eye disease (AED) model.,30279513
Cutting Edge: Early Attrition of Memory T Cells during Inflammation and Costimulation Blockade Is Regulated Concurrently by Proapoptotic Proteins Fas and Bim.,30610162
Suppressor of cytokine signaling-1 mimetic peptides attenuate lymphocyte activation in the MRL/lpr mouse autoimmune model.,33737712
Peptidylprolyl isomerase C (Ppic) regulates invariant Natural Killer T cell (iNKT) differentiation in mice.,33864384
IL-23 signaling regulation of pro-inflammatory T-cell migration uncovered by phosphoproteomics.,32203518
Multipotent progenitors and hematopoietic stem cells arise independently from hemogenic endothelium in the mouse embryo.,34525376
Early alveolar macrophage response and IL-1R-dependent T cell priming determine transmissibility of Mycobacterium tuberculosis strains.,35173157
Pathogenesis of Respiratory Syncytial Virus Infection in BALB/c Mice Differs Between Intratracheal and Intranasal Inoculation. ,31163619
TIM-3 and TIM-1 Could Regulate Decidual <i>γδ</i>TCR Bright T Cells during Murine Pregnancy.,31236420
Intercellular Adhesion Molecule-1 (ICAM-1) and ICAM-2 Differentially Contribute to Peripheral Activation and CNS Entry of Autoaggressive Th1 and Th17 Cells in Experimental Autoimmune Encephalomyelitis.,31993059
Interleukin-10 Production by T and B Cells Is a Key Factor to Promote Systemic <i>Salmonella enterica</i> Serovar Typhimurium Infection in Mice.,28824622
Antitumor effect of <i>Batf2</i> through IL-12 p40 up-regulation in tumor-associated macrophages.,28808017
Inhibition of G Protein βγ Subunit Signaling Abrogates Nephritis in Lupus-Prone Mice.,26990948
An efficient chronic unpredictable stress protocol to induce stress-related responses in C57BL/6 mice.,25698978
Outer Membrane Protein of Gut Commensal Microorganism Induces Autoantibody Production and Extra-Intestinal Gland Inflammation in Mice. ,30347705
Intranasal Immunization with DnaK Protein Induces Protective Mucosal Immunity against Tuberculosis in CD4-Depleted Mice.,29473022
TLR7 gain-of-function genetic variation causes human lupus.,35477763
Modeling human yolk sac hematopoiesis with pluripotent stem cells.,34928315
Angiopoietin-2 blockade ameliorates autoimmune neuroinflammation by inhibiting leukocyte recruitment into the CNS.,32149735
"Polysaccharide extracted from Chinese white wax scale ameliorates 2,4-dinitrochlorobenzene-induced atopic dermatitis-like symptoms in BALB/c mice.",28579902
"Ovariectomy Activates Chronic Low-Grade Inflammation Mediated by Memory T Cells, Which Promotes Osteoporosis in Mice.",31995253
Expression and Function of Granzymes A and B in <i>Escherichia coli</i> Peritonitis and Sepsis.,28694562
Transmission of survival signals through Delta-like 1 on activated CD4<sup>+</sup> T cells.,27659682
Pulsed low-dose RANKL as a potential therapeutic for postmenopausal osteoporosis. ,27570837
Glutaraldehyde Cross-linking of HIV-1 Env Trimers Skews the Antibody Subclass Response in Mice.,29230223
A Novel Orally Available Asthma Drug Candidate That Reduces Smooth Muscle Constriction and Inflammation by Targeting GABAA Receptors in the Lung.,29578347
VISTA expressed in tumour cells regulates T cell function.,30382166
PLGA particulate subunit tuberculosis vaccines promote humoral and Th17 responses but do not enhance control of Mycobacterium tuberculosis infection.,29554138
CD8 T cells are essential for recovery from a respiratory vaccinia virus infection.,22826318
Antigen expression determines adenoviral vaccine potency independent of IFN and STING signaling.,25642773
Alleviation of Multiple Asthmatic Pathologic Features with Orally Available and Subtype Selective GABA<sub>A</sub> Receptor Modulators.,28440659
Subunit vaccine H56/CAF01 induces a population of circulating CD4 T cells that traffic into the Mycobacterium tuberculosis-infected lung.,27554293
Apoptotic cell administration is detrimental in murine renal ischaemia reperfusion injury.,25317079
Dendritic Cell KLF2 Expression Regulates T Cell Activation and Proatherogenic Immune Responses.,27837103
"IL-10-Producing B Cells Regulate T Helper Cell Immune Responses during 1,3-β-Glucan-Induced Lung Inflammation.",28428789
Heightened Immune Activation in Fetuses with Gastroschisis May Be Blocked by Targeting IL-5.,27183609
The regulation of the mitochondrial apoptotic pathway by glucocorticoid receptor in collaboration with Bcl-2 family proteins in developing T cells.,27888447
Retinal microglia initiate neuroinflammation in ocular autoimmunity.,31023885
T-bet expression by dendritic cells is required for the repolarization of allergic airway inflammation.,18819071
