Title,ID
"NRF2 Mediates Cellular Resistance to Transformation, Radiation, and Inflammation in Mice.",36139722
The HDAC inhibitor zabadinostat is a systemic regulator of adaptive immunity.,36702861
"Caspase-8-Dependent Inflammatory Responses Are Controlled by Its Adaptor, FADD, and Necroptosis.",32428502
A dysbiotic gut microbiome suppresses antibody mediated-protection against <i>Vibrio cholerae</i>.,34877500
A TNFR2 antibody by countering immunosuppression cooperates with HMGN1 and R848 immune stimulants to inhibit murine colon cancer.,34794079
Peptidome profiling for the immunological stratification in sepsis: a proof of concept study.,35794460
CD69 expression on regulatory T cells protects from immune damage after myocardial infarction.,36066993
Oncolytic vaccinia virus reinvigorates peritoneal immunity and cooperates with immune checkpoint inhibitor to suppress peritoneal carcinomatosis in colon cancer. ,33199510
Versican promotes T helper 17 cytotoxic inflammation and impedes oligodendrocyte precursor cell remyelination.,35508608
Involvement of chemokine receptor CXCR3 in the defense mechanism against <i>Neospora caninum</i> infection in C57BL/6 mice.,36704563
Erythropoietin Reduces Auto- and Alloantibodies by Inhibiting T Follicular Helper Cell Differentiation.,34261755
Intestinal epithelial HDAC3 and MHC class II coordinate microbiota-specific immunity.,36602872
Hepatocyte DAX1 Deletion Exacerbates Inflammatory Liver Injury by Inducing the Recruitment of CD4<sup>+</sup> and CD8<sup>+</sup> T Cells through NF-κB p65 Signaling Pathway in Mice.,36430486
CD4+ T cells sustain aggressive chronic lymphocytic leukemia in Eμ-TCL1 mice through a CD40L-independent mechanism.,34269799
Delivery of CD47 blocker SIRPα-Fc by CAR-T cells enhances antitumor efficacy. ,35110357
IL-10 Mediated Immunomodulation Limits Subepithelial Fibrosis and Repairs Airway Epithelium in Rejecting Airway Allografts. ,34069395
IL-12p40 is essential but not sufficient for Francisella tularensis LVS clearance in chronically infected mice.,36972230
IL-4Rα signalling in B cells and T cells play differential roles in acute and chronic atopic dermatitis.,36599893
LAG3 associates with TCR-CD3 complexes and suppresses signaling by driving co-receptor-Lck dissociation.,35437325
CD1d-independent NK1.1<sup>+</sup> Treg cells are IL2-inducible Foxp3<sup>+</sup> T cells co-expressing immunosuppressive and cytotoxic molecules.,36177042
sEH-derived metabolites of linoleic acid drive pathologic inflammation while impairing key innate immune cell function in burn injury.,35312372
Immune response and protective efficacy of the SARS-CoV-2 recombinant spike protein vaccine S-268019-b in mice.,36460696
"S-540956, a CpG Oligonucleotide Annealed to a Complementary Strand With an Amphiphilic Chain Unit, Acts as a Potent Cancer Vaccine Adjuvant by Targeting Draining Lymph Nodes.",35003132
Enhanced immunotherapeutic profile of oncolytic virus-based cancer vaccination using cyclophosphamide preconditioning. ,32792361
