Title,ID
"A combination therapy of bortezomib, CXCR4 inhibitor, and checkpoint inhibitor is effective in cholangiocarcinoma <i>in vivo</i>.",PMC9950944
Evaluating Antibody Pharmacokinetics as Prerequisite for Determining True Efficacy as Shown by Dual Targeting of PD-1 and CD96.,PMC9495994
Leptin Augments Antitumor Immunity in Obesity by Repolarizing Tumor-Associated Macrophages.,PMC9095767
Anti-tumor effects of anti-programmed cell death-1 antibody treatment are attenuated in streptozotocin-induced diabetic mice.,PMC10097709
Evaluation of cancer immunotherapy using mini-tumor chips.,PMC9131272
Expression of tdTomato and luciferase in a murine lung cancer alters the growth and immune microenvironment of the tumor.,PMC8376001
Microbiota-dependent expression of CTLA-4 by innate lymphoid cells restrains IFNγ dependent colitis,10.21203/rs.3.rs-2729018/v1
Noninvasive interrogation of CD8+ T cell effector function for monitoring early tumor responses to immunotherapy.,PMC9374377
Neutrophil Conversion to a Tumor-Killing Phenotype Underpins Effective Microbial Therapy.,PMC10102850
Durable Responses to Anti-PD1 and Anti-CTLA4 in a Preclinical Model of Melanoma Displaying Key Immunotherapy Response Biomarkers.,PMC9564179
Macrophages Impair TLR9 Agonist Antitumor Activity through Interacting with the Anti-PD-1 Antibody Fc Domain. ,PMC8391891
Concurrent intrathecal and intravenous nivolumab in leptomeningeal disease: phase 1 trial interim results.,PMC10115650
Liposome-Encapsulated Eribulin Shows Enhanced Antitumor Activity over Eribulin for Combination Therapy with Anti-PD-1 Antibody.,PMC10068443
"Mechanism of action of DSP-7888 (adegramotide/nelatimotide) Emulsion, a peptide-based therapeutic cancer vaccine with the potential to turn up the heat on non-immunoreactive tumors.",PMC9510518
Targeting GPC3<sup>high</sup> cancer-associated fibroblasts sensitizing the PD-1 blockage therapy in gastric cancer.,PMC10088929
Inulin prebiotic reinforces host cancer immunosurveillance <i>via</i> ɣδ T cell activation.,PMC9981629
Treg-Dominant Tumor Microenvironment Is Responsible for Hyperprogressive Disease after PD-1 Blockade Therapy.,PMC9627263
A pan-tumor-siRNA aptamer chimera to block nonsense-mediated mRNA decay inflames and suppresses tumor progression.,PMC9379514
Glucocorticoid activation by HSD11B1 limits T cell-driven interferon signaling and response to PD-1 blockade in melanoma.,PMC10083881
Engineered human cytokine/antibody fusion proteins expand regulatory T cells and confer autoimmune disease protection.,PMC9631798
"Protein phosphatase 2A inactivation induces microsatellite instability, neoantigen production and immune response.",PMC8674339
Solid stress impairs lymphocyte infiltration into lymph-node metastases.,PMC8678215
Oncogenic drivers dictate immune control of acute myeloid leukemia.,PMC10104832
