Title,ID
Dual-detection fluorescent immunochromatographic assay for quantitative detection of SARS-CoV-2 spike RBD-ACE2 blocking neutralizing antibody.,PMC8673933
Coordination of bacterial cell wall and outer membrane biosynthesis.,PMC9995270
Role of the flagellar hook in the structural development and antibiotic tolerance of Pseudomonas aeruginosa biofilms.,PMC8940932
CRISPRi-Mediated Gene Suppression Reveals Putative Reverse Transcriptase Gene PA0715 to Be a Global Regulator of <i>Pseudomonas aeruginosa</i>.,PMC9792118
Elevated c-di-GMP Levels and Expression of the Type III Secretion System Promote Corneal Infection by Pseudomonas aeruginosa.,PMC9387266
"Inhibition of Glyoxalase-I Leads to Reduced Proliferation, Migration and Colony Formation, and Enhanced Susceptibility to Sorafenib in Hepatocellular Carcinoma.",PMC6710403
Genome-wide study of Pseudomonas aeruginosa outer membrane protein immunogenicity using self-assembling protein microarrays.,PMC2772540
Individual and temporal variability of the retina after chronic bilateral common carotid artery occlusion (BCCAO).,PMC5856268
V-antigen genotype and phenotype analyses of clinical isolates of Pseudomonas aeruginosa.,PMC497603
"""Click"" immobilization of a VEGF-mimetic peptide on decellularized endothelial extracellular matrix to enhance angiogenesis.",PMC4059262
Prototypes of newly conceived inorganic and biological sensors for health and environmental applications.,PMC3571829
Pseudomonas aeruginosa serA Gene Is Required for Bacterial Translocation through Caco-2 Cell Monolayers.,PMC5207755
"Overexpression of the Small RNA PA0805.1 in Pseudomonas aeruginosa Modulates the Expression of a Large Set of Genes and Proteins, Resulting in Altered Motility, Cytotoxicity, and Tobramycin Resistance. ",PMC7253367
A conservative amino acid mutation in the master regulator FleQ renders Pseudomonas aeruginosa aflagellate.,PMC4020848
SuhB is a regulator of multiple virulence genes and essential for pathogenesis of Pseudomonas aeruginosa.,PMC3809559
Genetic and genomic insights into the role of benzoate-catabolic pathway redundancy in Burkholderia xenovorans LB400.,PMC1352278
Expression analysis of a highly adherent and cytotoxic small colony variant of Pseudomonas aeruginosa isolated from a lung of a patient with cystic fibrosis.,PMC419954
Microarray analysis of global gene expression in mucoid Pseudomonas aeruginosa.,PMC142812
Pseudomonas aeruginosa rugose small-colony variants have adaptations that likely promote persistence in the cystic fibrosis lung.,PMC2681918
The flagellum of Pseudomonas aeruginosa is required for resistance to clearance by surfactant protein A.,PMC1891440
