Title,ID
"Effect of Predicate Types on the Production of Copula ""Is"" in 2-Year-Old Children Who Speak General American English. ",37120862
Speech-Language Pathology Treatment of Cognitive-Communication Deficits in School-Aged Children With Traumatic Brain Injury: A Scoping Review.,37116307
"Grammaticality Judgments of Tense and Agreement by Child Speakers of African American English: Effects of Clinical Status, Surface Form, and Grammatical Structure. ",37120833
Bioenvironmental Predictors of Childhood Reading and Speech Difficulties.,37059050
Features of Cognitive Ability and Central Auditory Processing of Preschool Children With Minimal and Mild Hearing Loss.,37116308
Effects of Healthy Aging and Gender on the Electrophysiological Correlates of Semantic Sentence Comprehension: The Development of Dutch Normative Data.,37093923
"Erratum to ""Ordinal Pattern Analysis: A Tutorial on Assessing the Fit of Hypotheses to Individual Repeated Measures Data"".",36857075
Effects of Gradual and Sudden Introduction of Perturbations on Adaptive Responses to Formant-Shift and Formant-Clamp Perturbations.,37059081
Eliciting Stuttering in School-Age and Adolescent Stutterers in Experimental Settings.,37059075
A Vocal Hygiene Program for Mitigating the Effects of Occupational Vocal Demand in Primary School Teachers.,37080241
"Modeling Responses to Auditory Feedback Perturbations in Adults, Children, and Children With Complex Speech Sound Disorders: Evidence for Impaired Auditory Self-Monitoring?",37071803
Attention Modulates the Role of Speakers' Voice Identity and Linguistic Information in Spoken Word Processing: Evidence From Event-Related Potentials.,37071787
Oral Diadochokinetic Performance on Perceptual and Acoustic Measures for Typically Developing Cantonese-Speaking Preschool Children.,37040691
Videostroboscopy Versus High-Speed Videoendoscopy: Factors Influencing Ratings of Laryngeal Oscillation.,37040690
The Association Between Atypical Speech Development and Adolescent Self-Harm.,37080239
Effects of Production Training With Ultrasound Biofeedback on Production and Perception of Second-Language English Tense-Lax Vowel Contrasts.,36961959
Speech Entrainment in Adolescent Conversations: A Developmental Perspective.,37071795
Comparing Different Measures of Bilingual Input Derived From Naturalistic Daylong Recordings.,37000939
Voice Onset Time in Children With and Without Vocal Fold Nodules.,36940476
The Impact of Bimodal Hearing on Speech Acoustics of Vowel Production in Adult Cochlear Implant Users.,37040323
Development of Achieving Constancy in Lexical Tone Identification With Contextual Cues.,36995907
Reliability of a Linguistic Segmentation Procedure Specified by Systemic Functional Linguistics to Examine Extemporaneous Speech.,37014996
Psychometrically Equivalent Fante Speech Recognition Threshold Materials by a Female Talker.,36989178
Miniature Linguistic Systems for Individuals With Autism Spectrum Disorder: A Systematic Review and Meta-Analysis.,37040739
Crowdsourced Perceptual Ratings of Voice Quality in People With Parkinson's Disease Before and After Intensive Voice and Articulation Therapies: Secondary Outcome of a Randomized Controlled Trial.,37059078
3D Video Tracking Technology in the Assessment of Orofacial Impairments in Neurological Disease: Clinical Validation.,36989177
The Development of Mental Health Difficulties in Young People With and Without Developmental Language Disorder: A Gene-Environment Interplay Study Using Polygenic Scores.,37040695
Learning a Sign Language Does Not Hinder Acquisition of a Spoken Language.,36972338
The Application of Time-Frequency Masking To Improve Intelligibility of Dysarthric Speech in Background Noise.,36944186
Identifying an Appropriate Picture Stimulus for a Bangla Picture Description Task.,36947697
Item Response Theory Modeling of the Verb Naming Test.,37000934
Vowel Production in Children and Adults With Down Syndrome: Fundamental and Formant Frequencies of the Corner Vowels.,37015000
Dealing with the heterogeneous presentations of freezing of gait: how reliable are the freezing index and heart rate for freezing detection?,37106388
Accuracy of Naming Error Profiles Elicited From Adaptive Short Forms of the Philadelphia Naming Test.,37014997
From Recognizing Known Words to Learning New Ones: Comparing Online Speech Processing in Typically Developing and Late-Talking 2-Year-Olds.,36989138
The Development of Left Hemisphere Lateralization for Sentence-Level Prosodic Processing.,36944046
Lexical Characteristics of the Speech Intelligibility Test: Effects on Transcription Intelligibility for Speakers With Multiple Sclerosis and Parkinson's Disease.,36931064
Medial Olivocochlear Reflex Strength in Ears With Low-to-Moderate Annual Noise Exposure.,36940474
