Title,ID
The TH1902 Docetaxel Peptide-Drug Conjugate Inhibits Xenografts Growth of Human SORT1-Positive Ovarian and Triple-Negative Breast Cancer Stem-like Cells.,PMC9503230
Is P-Glycoprotein Functionally Expressed in the Limiting Membrane of Endolysosomes? A Biochemical and Ultrastructural Study in the Rat Liver.,PMC9102269
"Adagrasib, a KRAS G12C inhibitor, reverses the multidrug resistance mediated by ABCB1 in vitro and in vivo.",PMC9472360
"The anti-estrogen receptor drug, tamoxifen, is selectively Lethal to P-glycoprotein-expressing Multidrug resistant tumor cells.",PMC9824978
Microtubule-targeting anticancer drug eribulin induces drug efflux transporter P-glycoprotein.,PMC6976863
Characterization and tissue localization of zebrafish homologs of the human ABCB1 multidrug transporter.,PMC8683423
"Lazertinib improves the efficacy of chemotherapeutic drugs in ABCB1 or ABCG2 overexpression cancer cells i<i>n vitro</i>, <i>in vivo</i>, and <i>ex vivo</i>.",PMC8897717
Cross-resistance of cisplatin selected cells to anti-microtubule agents: Role of general survival mechanisms.,PMC7586247
Editorial: Precision medicine for antithrombotic therapy in patients after percutaneous coronary interventions.,PMC10020611
Management of Refractory Status Epilepticus: An International Cohort Study (MORSE CODe) Analysis of Patients Managed in the ICU.,PMC9536742
The impact of the ST131 clone on recurrent ESBL-producing E. coli urinary tract infection: a prospective comparative study.,PMC9203711
The strategy and clinical relevance of in vitro models of MAP resistance in osteosarcoma: a systematic review.,PMC9859755
Use of photoimmunoconjugates to characterize ABCB1 in cancer cells.,PMC8773461
ATP-binding cassette transporters at the zebrafish blood-brain barrier and the potential utility of the zebrafish as an <i>in vivo</i> model.,PMC8297714
Effects of Natural Polyphenols on the Expression of Drug Efflux Transporter P-Glycoprotein in Human Intestinal Cells.,PMC6044786
Expression and Function of ABC Proteins in Fish Intestine.,PMC8696203
Early outcomes of abbreviated multi-fractionated brachytherapy schedule for cervix cancer during COVID-19 pandemic.,PMC9626438
Beta-Amyloid Downregulates MDR1-P-Glycoprotein (Abcb1) Expression at the Blood-Brain Barrier in Mice.,PMC3109772
Double-flap Mandibular Reconstruction around the Condylar Head Using Fibula and Anterolateral Thigh Flaps.,PMC9668551
