Title,ID
Loss of cancer cell STAT1 improves response to radiation therapy and promotes T cell activation in head and neck squamous cell carcinoma.,34559306
Adjuvant effect of IRES-based single-stranded RNA on melanoma immunotherapy.,36199130
T cell-derived interleukin-22 drives the expression of CD155 by cancer cells to suppress NK cell function and promote metastasis.,36630913
HSF1 promotes CD69<sup>+</sup> Treg differentiation to inhibit colitis progression.,37064870
B cell peripheral tolerance is promoted by cathepsin B protease.,37040412
Temporal dynamics of TNF-mediated changes in hematopoietic stem cell function and recovery.,36968066
Intranasal priming induces local lung-resident B cell populations that secrete protective mucosal antiviral IgA.,34890255
Characterization of age-related immune features after autologous NK cell infusion: Protocol for an open-label and randomized controlled trial.,36248873
Immunological correlates of protection following vaccination with glucan particles containing Cryptococcus neoformans chitin deacetylases.,36732332
Acute effects of FLT3L treatment on T cells in intact mice.,36376544
Epigenetic modifier SMCHD1 maintains a normal pool of long-term hematopoietic stem cells.,35856023
Type 2 Dendritic Cells Orchestrate a Local Immune Circuit to Confer Antimetastatic Immunity.,36881866
Rapamycin relieves lupus nephritis by regulating TIM-3 and CD4<sup>+</sup>CD25<sup>+</sup>Foxp3<sup>+</sup> Treg cells in an MRL/lpr mouse model.,36817267
Glucocorticoid prevents CD138 expression in T cells of autoimmune MRL/<i>lpr</i> mice.,35514318
Non-canonical inflammasome activation mediates the adjuvanticity of nanoparticles.,36652908
"Free fatty acid receptor 4 (FFA4) activation ameliorates 2,4-dinitrochlorobenzene-induced atopic dermatitis by increasing regulatory T cells in mice.",32555509
Interleukin-22 Exerts Detrimental Effects on Salivary Gland Integrity and Function.,36361787
Induction of potent antitumor immunity by intradermal DNA injection using a novel needle-free pyro-drive jet injector.,36000926
CD8 follicular T cells localize throughout the follicle during germinal center reactions and maintain cytolytic and helper properties.,34274825
A pan-variant mRNA-LNP T cell vaccine protects HLA transgenic mice from mortality after infection with SARS-CoV-2 Beta,10.1101/2022.09.23.509206
CRISPR-Cas9 mediated generation of a conditional poly(A) binding protein nuclear 1 (Pabpn1) mouse model reveals an essential role for hematopoietic stem cells.,35504940
Development of a Heat-Killed <i>fbp1</i> Mutant Strain as a Therapeutic Agent To Treat Invasive Cryptococcus Infection.,36719231
The Induction of Antigen 85B-Specific CD8<sup>+</sup> T Cells by Recombinant BCG Protects against Mycobacterial Infection in Mice.,36674484
A diminished immune response underlies age-related SARS-CoV-2 pathologies.,35714615
ICOS is upregulated on T cells following radiation and agonism combined with radiation results in enhanced tumor control.,36056093
Metformin combined with local irradiation provokes abscopal effects in a murine rectal cancer model.,35508498
Immune translational control by CPEB4 regulates intestinal inflammation resolution and colorectal cancer development.,35243213
Microbially-Induced Exosomes from Dendritic Cells Promote Paracrine Immune Senescence: Novel Mechanism of Bone Degenerative Disease in Mice.,36818565
Delineating the transcriptional landscape and clonal diversity of virus-specific CD4<sup>+</sup> T cells during chronic viral infection.,36255051
