Title,ID
Isolation and culture of pure adult mouse microglia and astrocytes for <i>in vitro</i> characterization and analyses.,PMC9019703
"Fetal hypoxia results in sex- and cell type-specific alterations in neonatal transcription in rat oligodendrocyte precursor cells, microglia, neurons, and oligodendrocytes.",PMC10022003
"EGFL7 loss correlates with increased VEGF-D expression, upregulating hippocampal adult neurogenesis and improving spatial learning and memory.",PMC9886625
"Dissociation of neonatal and adult mice brain for simultaneous analysis of microglia, astrocytes and infiltrating lymphocytes by flow cytometry.",PMC7090101
Aspartate availability limits hematopoietic stem cell function during hematopoietic regeneration.,PMC8571029
Brain endothelial cells induce astrocytic expression of the glutamate transporter GLT-1 by a Notch-dependent mechanism.,PMC5693650
RAM-589.555 favors neuroprotective and anti-inflammatory profile of CNS-resident glial cells in acute relapse EAE affected mice.,PMC7576835
Novel factor in olfactory ensheathing cell-astrocyte crosstalk: Anti-inflammatory protein α-crystallin B.,PMC9469687
The transcription factor LEF1 interacts with NFIX and switches isoforms during adult hippocampal neural stem cell quiescence.,PMC9355129
Chlamydia pneumoniae can infect the central nervous system via the olfactory and trigeminal nerves and contributes to Alzheimer's disease risk.,PMC8854390
Enhanced astrocytic d-serine underlies synaptic damage after traumatic brain injury.,PMC5531405
Epiregulin is released from intervertebral disks and induces spontaneous activity in pain pathways.,PMC6455685
STAT1 contributes to microglial/macrophage inflammation and neurological dysfunction in a mouse model of traumatic brain injury.,PMC9525171
IL-33 enhances Jagged1 mediated NOTCH1 intracellular domain (NICD) deubiquitination and pathological angiogenesis in proliferative retinopathy.,PMC9120174
UNC93B1 Is Widely Expressed in the Murine CNS and Is Required for Neuroinflammation and Neuronal Injury Induced by MicroRNA <i>let-7b</i>.,PMC8475950
Specific knockdown of hippocampal astroglial EphB2 improves synaptic function via inhibition of D-serine secretion in APP/PS1 mice.,PMC6413293
Enrichment of Astrocyte-Derived Extracellular Vesicles from Human Plasma.,35993755
Mechanisms of CO2/H+ Sensitivity of Astrocytes.,PMC5083006
MiRNA-210 induces microglial activation and regulates microglia-mediated neuroinflammation in neonatal hypoxic-ischemic encephalopathy.,PMC7608107
Induced neural stem cell-derived astrocytes modulate complement activation and mediate neuroprotection following closed head injury.,PMC5833559
Pathological modeling of TBEV infection reveals differential innate immune responses in human neurons and astrocytes that correlate with their susceptibility to infection.,PMC7053149
Transcriptional signatures of steroid hormones in the striatal neurons and astrocytes.,PMC5381047
"Association between inflammation, reward processing, and ibuprofen-induced increases of miR-23b in astrocyte-enriched extracellular vesicles: A randomized, placebo-controlled, double-blind, exploratory trial in healthy individuals.",PMC9807827
Review on the roles of specific cell-derived exosomes in Alzheimer's disease.,PMC9366882
Phenotypic assays to identify agents that induce reactive gliosis: a counter-screen to prioritize compounds for preclinical animal studies.,PMC4555645
Intrinsic Astrocyte Heterogeneity Influences Tumor Growth in Glioma Mouse Models.,PMC5322824
"High-resolution mouse subventricular zone stem-cell niche transcriptome reveals features of lineage, anatomy, and aging.",PMC7733854
Intracerebral Inoculation of Mouse-Passaged Saffold Virus Type 3 Affects Cerebellar Development in Neonatal Mice.,PMC5068506
Comparative Genomic Analysis of a Methylorubrum rhodesianum MB200 Isolated from Biogas Digesters Provided New Insights into the Carbon Metabolism of Methylotrophic Bacteria,PMC10138955
Detrimental and protective action of microglial extracellular vesicles on myelin lesions: astrocyte involvement in remyelination failure.,PMC6851224
The atypical CDK activator RingoA/Spy1 regulates exit from quiescence in neural stem cells.,PMC9982312
Targeting the brain 5-HT7 receptor to prevent hypomyelination in a rodent model of perinatal white matter injuries.,PMC10033587
"Evaluation of blood-based, extracellular vesicles as biomarkers for aging-related TDP-43 pathology.",PMC9753157
MCP-1 levels in astrocyte-derived exosomes are changed in preclinical stage of Alzheimer's disease.,PMC10067608
Mesenchymal stem cell-derived exosome: a promising alternative in the therapy of Alzheimer's disease.,PMC7488700
HIF-1α is a protective factor in conditional PHD2-deficient mice suffering from severe HIF-2α-induced excessive erythropoiesis.,PMC3628111
Analysis of DNA methylation reveals a partial reprogramming of the Müller glia genome during retina regeneration.,PMC3856824
Extracellular Vesicles as Potential Biomarkers in Amyotrophic Lateral Sclerosis.,PMC9956314
Ablating astrocyte insulin receptors leads to delayed puberty and hypogonadism in mice.,PMC6443191
Early Permissiveness of Central Nervous System Cells to Measles Virus Infection Is Determined by Hyperfusogenicity and Interferon Pressure.,PMC9861295
A systematic review of patient reported outcome measures for women with macromastia who have undergone breast reduction surgery.,PMC6722998
"Exosomes in schizophrenia: Pathophysiological mechanisms, biomarkers, and therapeutic targets.",PMC9532215
"Exosomes in Ageing and Motor Neurone Disease: Biogenesis, Uptake Mechanisms, Modifications in Disease and Uses in the Development of Biomarkers and Therapeutics. ",PMC8616058
TCRαβ<sup>+</sup>NK1.1<sup>-</sup>CD4<sup>-</sup>CD8<sup>-</sup> double-negative T cells inhibit central and peripheral inflammation and ameliorate ischemic stroke in mice.,PMC9925325
Inhibition of Perforin-Mediated Neurotoxicity Attenuates Neurological Deficits After Ischemic Stroke.,PMC8274971
Astrocytic dysfunction induced by ABCA1 deficiency causes optic neuropathy.,PMC9635836
Increased Interleukin-6 Levels in the Astrocyte-Derived Exosomes of Sporadic Amyotrophic Lateral Sclerosis Patients.,PMC6560167
"Plasma Levels of Neuron- and Astrocyte-Derived Exosomal Amyloid Beta1-42, Amyloid Beta1-40, and Phosphorylated Tau Levels in Schizophrenia Patients and Non-psychiatric Comparison Subjects: Relationships With Cognitive Functioning and Psychopathology.",PMC7982803
Cell population analysis of the adult murine subependymal neurogenic lineage by flow cytometry.,PMC8056273
Isolation and characterization of living primary astroglial cells using the new GLAST-specific monoclonal antibody ACSA-1.,22374709
SARS-CoV-2 and Mitochondrial Proteins in Neural-Derived Exosomes of COVID-19.,PMC9082480
Decreased mitochondrial electron transport proteins and increased complement mediators in plasma neural-derived exosomes of early psychosis.,PMC7588411
Brain-Specific Increase in Leukotriene Signaling Accompanies Chronic Neuroinflammation and Cognitive Impairment in a Model of Gulf War Illness.,PMC9099214
High throughput screening of novel AAV capsids identifies variants for transduction of adult NSCs within the subventricular zone.,PMC8427210
An immunoaffinity-based method for isolating ultrapure adult astrocytes based on ATP1B2 targeting by the ACSA-2 antibody.,PMC5448122
