Title,ID
Serum angiotensin-converting enzyme 2 as a potential biomarker for SARS-CoV-2 infection and vaccine efficacy.,PMC9597869
The purinergic receptor P2X7 and the NLRP3 inflammasome are druggable host factors required for SARS-CoV-2 infection,10.1101/2023.04.05.531513
Transient Changes in the Plasma of Astrocytic and Neuronal Injury Biomarkers in COVID-19 Patients without Neurological Syndromes.,PMC9917569
Circulating ACE2-expressing Exosomes Block SARS-CoV-2 Infection as an Innate Antiviral Mechanism,10.21203/rs.3.rs-141729/v1
A specific anti-IFITM2 antibody bars the way to SARS-CoV-2 entry into host cells,10.1101/2022.08.04.502768
SARS-CoV-2 triggers pericyte-mediated cerebral capillary constriction.,PMC9384509
"Co-expression of SARS-CoV-2 entry genes in the superficial adult human conjunctival, limbal and corneal epithelium suggests an additional route of entry via the ocular surface.",PMC7267807
Acute SARS-CoV-2 infection in pregnancy is associated with placental ACE-2 shedding,10.1101/2021.11.19.469335
Circulating ACE2-expressing Exosomes Block SARS-CoV-2 Infection as an Innate Antiviral Mechanism,10.1101/2020.12.03.407031
Cell culture systems for isolation of SARS-CoV-2 clinical isolates and generation of recombinant virus.,PMC10083141
Evolutionary remodelling of N-terminal domain loops fine-tunes SARS-CoV-2 spike.,PMC9535765
SARS-CoV-2 infects neurons and induces neuroinflammation in a non-human primate model of COVID-19.,PMC9554328
Characterisation of B.1.1.7 and Pangolin coronavirus spike provides insights on the evolutionary trajectory of SARS-CoV-2,10.1101/2021.03.22.436468
Increased circulating microparticles contribute to severe infection and adverse outcomes of COVID-19 in patients with diabetes.,PMC9678425
Pharmacological inhibition of bromodomain and extra-terminal proteins induces NRF-2-mediated inhibition of SARS-CoV-2 replication and is subject to viral antagonism,10.1101/2022.09.22.508962
Influenza virus infection increases ACE2 expression and shedding in human small airway epithelial cells. ,PMC8378143
Murine Alveolar Macrophages Rapidly Accumulate Intranasally Administered SARS-CoV-2 Spike Protein leading to Neutrophil Recruitment and Damage,10.1101/2023.03.13.532446
Human Erythroid Progenitors are Directly Infected by SARS-CoV-2: Implications for Hypoxia and Emerging Hematopoiesis/Erythropoiesis in COVID19,10.2139/ssrn.3741229
ACE2: Evidence of role as entry receptor for SARS-CoV-2 and implications in comorbidities. ,PMC7652413
High resolution photocatalytic mapping of SARS-CoV-2 Spike protein-host cell membrane interactions,10.1101/2022.09.02.506438
A novel isoform of<i>ACE2</i>is expressed in human nasal and bronchial respiratory epithelia and is upregulated in response to RNA respiratory virus infection,10.1101/2020.07.31.230870
ACE2 and SARS-CoV-2 Expression in the Normal and COVID-19 Pancreas,10.2139/ssrn.3691242
Identification of Human Host Substrates of the SARS-CoV-2 M<sup>pro</sup> and PL<sup>pro</sup> Using Subtiligase N-Terminomics.,PMC10081575
ACE2 and SARS-CoV-2 Expression in the Normal and COVID-19 Pancreas,10.1101/2020.08.31.270736
Robust ACE2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is not increased by ACE inhibitors or angiotensin receptor blockers,10.1101/2020.05.08.20092866
SARS-CoV-2 susceptibility of cell lines and substrates commonly used in diagnosis and isolation of influenza and other viruses,10.1101/2021.01.04.425336
Transgenic Mouse Models Establish a Protective Role of Type 1 IFN Response in SARS-CoV-2 infection-related Immunopathology,10.1101/2022.12.17.520843
P38 MAPK activated ADAM17 mediates ACE2 shedding and promotes cardiac remodeling and heart failure after myocardial infarction.,PMC10091339
Identification of TMEM106B as proviral host factor for SARS-CoV-2,10.1101/2020.09.28.316281
Berbamine suppresses intestinal SARS-CoV-2 infection via a BNIP3-dependent autophagy blockade.,PMC10114999
Repeated ethanol exposure and withdrawal alters angiotensin-converting enzyme 2 expression in discrete brain regions: Implications for SARS-CoV-2 neuroinvasion.,PMC9878009
Human lungs show limited permissiveness for SARS-CoV-2 due to scarce ACE2 levels but virus-induced expansion of inflammatory macrophages.,PMC9712848
Phosphatidylserine Receptors Enhance SARS-CoV-2 Infection: AXL as a Therapeutic Target for COVID-19,10.1101/2021.06.15.448419
Human Lungs Show Limited Permissiveness for SARS-CoV-2 Due to Scarce ACE2 Levels But Strong Virus-Induced Immune Activation in Alveolar Macrophages,10.2139/ssrn.3687020
Advances in Targeting ACE2 for Developing COVID-19 Therapeutics.,PMC9581451
