Title,ID
A culture platform to study quiescent hematopoietic stem cells following genome editing.,PMC9795334
Protocol to quantify and characterize contact between T cells and antigen-presenting cells in the antigen-draining lymph nodes of mice using flow cytometry.,PMC9667299
CD8<sup>+</sup> T cell-intrinsic IL-6 signaling promotes resistance to anti-PD-L1 immunotherapy.,PMC9873827
Oral administration of <i>Lacticaseibacillus casei</i> ATCC393 promotes angiogenesis by enhancing neutrophil activity in a murine hind-limb ischemia model.,PMC9816049
Isolation of human and mouse myeloid-derived suppressor cells for metabolic analysis.,PMC9120228
FES null mice demonstrate a reduction in neutrophil dependent pancreatic cancer metastatic burden.,PMC10034081
AXL targeting restores PD-1 blockade sensitivity of <i>STK11/LKB1</i> mutant NSCLC through expansion of TCF1<sup>+</sup> CD8 T cells.,PMC9040166
Mechanism and intervention of murine transfusion-related acute lung injury caused by anti-CD36 antibodies.,PMC10070104
Sepsis promotes splenic production of a protective platelet pool with high CD40 ligand expression.,PMC8970674
Exogenous signaling repairs defective T cell signaling inside the tumor microenvironment for better immunity.,PMC9536281
Visualizing Spatial and Stoichiometric Barriers to Bispecific T-Cell Engager Efficacy.,PMC9177795
Inhibition of the TRIM24 bromodomain reactivates latent HIV-1.,PMC9832417
Blast Waves Cause Immune System Dysfunction and Transient Bone Marrow Failure in a Mouse Model.,PMC8980552
"Intrinsic B cell TLR-BCR linked coengagement induces class-switched, hypermutated, neutralizing antibody responses in absence of T cells",PMC10146914
Proteolysis-targeting chimera against BCL-X<sub>L</sub> destroys tumor-infiltrating regulatory T cells.,PMC7904819
Mechanical high-intensity focused ultrasound creates unique tumor debris enhancing dendritic cell-induced T cell activation.,PMC9768443
Highly mutated antibodies capable of neutralizing N276 glycan-deficient HIV after a single immunization with an Env trimer.,PMC8924373
Differentiation of fetal hematopoietic stem cells requires ARID4B to restrict autocrine KITLG/KIT-Src signaling.,PMC8722094
A Specific CD44lo CD25lo Subpopulation of Regulatory T Cells Inhibits Anti-Leukemic Immune Response and Promotes the Progression in a Mouse Model of Chronic Lymphocytic Leukemia.,PMC8918500
HSPB5 suppresses renal inflammation and protects lupus-prone NZB/W F1 mice from severe renal damage.,PMC9743758
T cell-dependent bispecific antibodies alter organ-specific endothelial cell-T cell interaction.,PMC9986820
Inherited human ITK deficiency impairs IFN-γ immunity and underlies tuberculosis.,PMC9641312
Cell origin-dependent cooperativity of mutant Dnmt3a and Npm1 in clonal hematopoiesis and myeloid malignancy.,PMC9631557
Targeting a Tumor-Specific Epitope on Podocalyxin Increases Survival in Human Tumor Preclinical Models.,PMC9115113
Concomitant deletion of Ptpn6 and Ptpn11 in T cells fails to improve anticancer responses.,PMC9638855
"AMG853, A Bispecific Prostaglandin D<sub>2</sub> Receptor 1 and 2 Antagonist, Dampens Basophil Activation and Related Lupus-Like Nephritis Activity in Lyn-Deficient Mice.",PMC9014266
The glucose transporter GLUT3 controls T helper 17 cell responses through glycolytic-epigenetic reprogramming.,PMC9019065
Peptide:MHCII Tetramer-Based Cell Enrichment for the Study of Epitope-Specific CD4<sup>+</sup> T Cells.,PMC6570544
Distinct Tumor Necrosis Factor Alpha Receptors Dictate Stem Cell Fitness versus Lineage Output in Dnmt3a-Mutant Clonal Hematopoiesis.,PMC9716249
Visualizing Synaptic Transfer of Tumor Antigens among Dendritic Cells.,PMC7671443
Hypoxia-sensing CAR T cells provide safety and efficacy in treating solid tumors.,PMC8080111
CT-M8 Mice: A New Mouse Model Demonstrates That Basophils Have a Nonredundant Role in Lupus-Like Disease Development.,PMC9277511
Methyltransferase inhibitors restore SATB1 protective activity against cutaneous T cell lymphoma in mice. ,PMC7843215
Characterization of tumor-associated macrophages in prostate cancer transgenic mouse models.,PMC8720375
Naïve Primary Mouse CD8<sup>+</sup> T Cells Retain <i>In Vivo</i> Immune Responsiveness After Electroporation-Based CRISPR/Cas9 Genetic Engineering.,PMC9280190
Selective delivery of low-affinity IL-2 to PD-1+ T cells rejuvenates antitumor immunity with reduced toxicity. ,PMC8803347
The inhibitory receptor TIM-3 limits activation of the cGAS-STING pathway in intra-tumoral dendritic cells by suppressing extracellular DNA uptake.,PMC8192496
Inhibition of focal adhesion kinase enhances antitumor response of radiation therapy in pancreatic cancer through CD8+ T cells.,PMC7877172
Cancer vaccines from cryogenically silicified tumour cells functionalized with pathogen-associated molecular patterns.,PMC8792180
A subset of antibodies targeting citrullinated proteins confers protection from rheumatoid arthritis.,PMC9908943
Inhibition of G Protein βγ Subunit Signaling Abrogates Nephritis in Lupus-Prone Mice.,PMC5001921
Single-Cell Transcriptomic and Epigenetic Analyses of Mouse Mammary Development Starting with the Embryo.,PMC9663269
Isolation and Culture of Mouse Lung ILC2s.,PMC8342099
Saponin-based adjuvant-induced dendritic cell cross-presentation is dependent on PERK activation.,PMC8994093
Airway Microbiota-Host Interactions Regulate Secretory Leukocyte Protease Inhibitor Levels and Influence Allergic Airway Inflammation.,PMC7685510
FGL2-targeting T cells exhibit antitumor effects on glioblastoma and recruit tumor-specific brain-resident memory T cells.,PMC9911733
Gut Epithelial Inositol Polyphosphate Multikinase Alleviates Experimental Colitis via Governing Tuft Cell Homeostasis.,PMC9579329
Preclinical Rationale for Targeting the PD-1/PD-L1 Axis in Combination with a CD38 Antibody in Multiple Myeloma and Other CD38-Positive Malignancies. ,PMC7764511
Embryonic lethality and defective mammary gland development of activator-function impaired conditional knock-in <i>Erbb3</i> <sup><i>V943R</i></sup> mice.,PMC9744554
IL-33 enhances Jagged1 mediated NOTCH1 intracellular domain (NICD) deubiquitination and pathological angiogenesis in proliferative retinopathy.,PMC9120174
Evolution of HER2-positive mammary carcinoma: HER2 loss reveals claudin-low traits in cancer progression.,PMC8590694
Enhanced immunotherapeutic profile of oncolytic virus-based cancer vaccination using cyclophosphamide preconditioning. ,PMC7430484
Mouse models of neutropenia reveal progenitor-stage-specific defects.,PMC8041154
Tet2 deficiency drives liver microbiome dysbiosis triggering Tc1 cell autoimmune hepatitis.,PMC9841318
Apelin directs endothelial cell differentiation and vascular repair following immune-mediated injury.,PMC6934203
Eosinophils Decrease Pulmonary Metastatic Mammary Tumor Growth.,PMC9213661
Targeting the RNA m<sup>6</sup>A Reader YTHDF2 Selectively Compromises Cancer Stem Cells in Acute Myeloid Leukemia.,PMC6617387
Interferon regulatory factor 4 controls effector functions of CD8+ memory T cells. ,PMC8072204
PODO447: a novel antibody to a tumor-restricted epitope on the cancer antigen podocalyxin. ,PMC7692987
Two sequential activation modules control the differentiation of protective T helper-1 (Th1) cells.,PMC8495663
Chronic stress physically spares but functionally impairs innate-like invariant T cells.,PMC8112805
P2X4 and P2X7 are essential players in basal T cell activity and Ca<sup>2+</sup> signaling milliseconds after T cell activation.,PMC8816335
Reliance on Cox10 and oxidative metabolism for antigen-specific NK cell expansion.,PMC8229496
When killers become thieves: Trogocytosed PD-1 inhibits NK cells in cancer.,PMC9007500
Pharmacological Wnt ligand inhibition overcomes key tumor-mediated resistance pathways to anti-PD-1 immunotherapy.,PMC8148423
Testosterone Attenuates Group 2 Innate Lymphoid Cell-Mediated Airway Inflammation.,PMC5731254
Endogenous DEL-1 restrains melanoma lung metastasis by limiting myeloid cell-associated lung inflammation. ,PMC7673713
Type I Interferon Therapy Limits CNS Autoimmunity by Inhibiting CXCR3-Mediated Trafficking of Pathogenic Effector T Cells.,PMC6748389
Mechanisms of Progression of Myeloid Preleukemia to Transformed Myeloid Leukemia in Children with Down Syndrome.,PMC6863161
Essential role of zyxin in platelet biogenesis and glycoprotein Ib-IX surface expression.,PMC8520529
IFN-γ Critically Enables the Intratumoural Infiltration of CXCR3+ CD8+ T Cells to Drive Squamous Cell Carcinoma Regression. ,PMC8124943
Quality of CD8+ T cell immunity evoked in lymph nodes is compartmentalized by route of antigen transport and functional in tumor context. ,PMC7732197
lncRNA Spehd Regulates Hematopoietic Stem and Progenitor Cells and Is Required for Multilineage Differentiation.,PMC6484780
Initial Viral Inoculum Determines Kinapse-and Synapse-Like T Cell Motility in Reactive Lymph Nodes.,PMC6743022
"A rapid, sensitive, and reproducible in vivo PBMC humanized murine model for determining therapeutic-related cytokine release syndrome.",PMC7436391
Aquaporin 4 inhibition alters chemokine receptor expression and T cell trafficking.,PMC6520372
Calcineurin inhibitors suppress acute graft-versus-host disease via NFAT-independent inhibition of T cell receptor signaling. ,PMC8159692
BCG vaccination-induced emergency granulopoiesis provides rapid protection from neonatal sepsis. ,PMC8008103
Next generation of tumor-activating type I IFN enhances anti-tumor immune responses to overcome therapy resistance.,PMC8497482
High Amount of Transcription Factor IRF8 Engages AP1-IRF Composite Elements in Enhancers to Direct Type 1 Conventional Dendritic Cell Identity.,PMC8193644
Flow cytometry and immunohistochemistry of the mouse dural meninges for immunological and virological assessments.,PMC9958090
CARM1 Inhibition Enables Immunotherapy of Resistant Tumors by Dual Action on Tumor Cells and T Cells.,PMC8338742
Loss of Mll3 Catalytic Function Promotes Aberrant Myelopoiesis.,PMC5017600
IL-33 increases ST2<sup>+</sup> Tregs and promotes metastatic tumour growth in the lungs in an amphiregulin-dependent manner.,PMC6343789
Suppression of tumor-associated neutrophils by lorlatinib attenuates pancreatic cancer growth and improves treatment with immune checkpoint blockade.,PMC8184753
"GILT in Thymic Epithelial Cells Facilitates Central CD4 T Cell Tolerance to a Tissue-Restricted, Melanoma-Associated Self-Antigen.",PMC7336541
Rejuvenation of tumour-specific T cells through bispecific antibodies targeting PD-L1 on dendritic cells.,PMC9499378
The engineered CD80 variant fusion therapeutic davoceticept combines checkpoint antagonism with conditional CD28 costimulation for anti-tumor immunity.,PMC8980021
Engineering immunoproteasome-expressing mesenchymal stromal cells: A potent cellular vaccine for lymphoma and melanoma in mice.,PMC8714858
PD1<sup>+</sup>CCR2<sup>+</sup>CD8<sup>+</sup> T Cells Infiltrate the Central Nervous System during Acute Japanese Encephalitis Virus Infection.,PMC6814683
Toll-like receptor 7 deficiency suppresses type 1 diabetes development by modulating B-cell differentiation and function.,PMC8027372
Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts.,PMC6727976
Mitigating oxygen stress enhances aged mouse hematopoietic stem cell numbers and function. ,PMC7773345
"All Trans Retinoic Acid, Transforming Growth Factor β and Prostaglandin E2 in Mouse Plasma Synergize with Basophil-Secreted Interleukin-4 to M2 Polarize Murine Macrophages.",PMC5158015
m<sup>6</sup>A RNA Methylation Maintains Hematopoietic Stem Cell Identity and Symmetric Commitment.,PMC6818972
PD-L1 on host cells is essential for PD-L1 blockade-mediated tumor regression.,PMC5785245
Uncoupling Splicing From Transcription Using Antisense Oligonucleotides Reveals a Dual Role for I Exon Donor Splice Sites in Antibody Class Switching.,PMC7233311
cDC1 Vaccines Drive Tumor Rejection by Direct Presentation Independently of Host cDC1.,PMC9357132
Depletion of Retinal Dopaminergic Activity in a Mouse Model of Rod Dysfunction Exacerbates Experimental Autoimmune Uveoretinitis: A Role for the Gateway Reflex. ,PMC8745287
Developmental changes in the in vitro activated regenerative activity of primitive mammary epithelial cells.,PMC3742452
Essential requirement for nicastrin in marginal zone and B-1 B cell development.,PMC7060662
Sialoadhesin (CD169/Siglec-1) is an extended molecule that escapes inhibitory cis-interactions and synergizes with other macrophage receptors to promote phagocytosis,10.21203/rs.3.rs-2370010/v1
Role of CXCL5 in Regulating Chemotaxis of Innate and Adaptive Leukocytes in Infected Lungs Upon Pulmonary Influenza Infection.,PMC8637413
Loss of testosterone impairs anti-tumor neutrophil function.,PMC7109066
Secreted gelsolin inhibits DNGR-1-dependent cross-presentation and cancer immunity.,PMC8320529
Low-dose irradiated mesenchymal stromal cells break tumor defensive properties in vivo.,PMC6220775
Intercellular Adhesion Molecule-1 (ICAM-1) and ICAM-2 Differentially Contribute to Peripheral Activation and CNS Entry of Autoaggressive Th1 and Th17 Cells in Experimental Autoimmune Encephalomyelitis.,PMC6970977
TGM4: an immunogenic prostate-restricted antigen. ,PMC8246381
ILC3s control splenic cDC homeostasis via lymphotoxin signaling.,PMC7970251
Optimization of Whole Tumor Cell Vaccines by Interaction with Phagocytic Receptors. ,PMC8402491
Sialoadhesin (CD169/Siglec-1) is an extended molecule that escapes inhibitory cis-interactions and synergizes with other macrophage receptors to promote phagocytosis.,PMC10027830
Rab27a plays a dual role in metastatic propensity of pancreatic cancer.,PMC7193593
CD177 modulates the function and homeostasis of tumor-infiltrating regulatory T cells.,PMC8486774
The Role of CD38 on the Function of Regulatory B Cells in a Murine Model of Lupus. ,PMC6213330
Dendritic cell NLRC4 regulates influenza A virus-specific CD4 T cell responses through FasL expression.,PMC6597209
Protocol to isolate and enrich mouse splenic naive CD4<sup>+</sup> T cells for in vitro CD4<sup>+</sup>CD8αα<sup>+</sup> cell induction.,PMC9526228
The onset of circulation triggers a metabolic switch required for endothelial to hematopoietic transition.,PMC8692754
Targeting myeloid-derived suppressor cells in combination with primary mammary tumor resection reduces metastatic growth in the lungs.,PMC6727565
GEF-H1 Signaling upon Microtubule Destabilization Is Required for Dendritic Cell Activation and Specific Anti-tumor Responses.,PMC6876861
miR17~92 restrains pro-apoptotic BIM to ensure survival of haematopoietic stem and progenitor cells.,PMC7206080
Swift Intrahepatic Accumulation of Granulocytic Myeloid-Derived Suppressor Cells in a Humanized Mouse Model of Toxic Shock Syndrome.,PMC4878721
Cutting Edge: Enhanced Clonal Burst Size Corrects an Otherwise Defective Memory Response by CD8+ Recent Thymic Emigrants.,PMC4779721
Anti-idiotypic antibodies elicit anti-HIV-1-specific B cell responses.,PMC6780999
Semaphorin 7A restricts serotonergic innervation and ensures recovery after spinal cord injury.,PMC8004489
