Title,ID
Effects of aquatic exercise on appetitive responses in adolescents with obesity: An exploratory study.,36933834
Double-Layered Pebax<sup>®</sup> 3533/ZIF-8 Membranes with Single-Walled Carbon Nanotube Buckypapers as Support for Gas Separation.,PMC9860796
Mechanism of Nucleation Pathway Selection in Binary Lennard-Jones Solution: A Combined Study of Molecular Dynamics Simulation and Free Energy Analysis.,37027488
Dietary- but not exercise-induced acute iso-energetic deficit result in short-term appetitive compensatory responses in adolescents with obesity.,36473580
Generation and immunofluorescent validation of gene knockouts in adult human colonic organoids using multi-guide RNA CRISPR-Cas9.,PMC9826973
Transverse magnetoconductance in two-terminal chiral spin-selective devices.,36740957
Longitudinal quantification of mouse gastric tumor organoid viability and growth using luminescence and microscopy.,PMC9947417
Overexpression of Parkin in the Neuronal Progenitor Cells from a Patient with Parkinson's Disease Shifts the Transcriptome Towards the Normal State.,36884134
Correction to: Emodin Inhibits Migration and Invasion of Human Endometrial Stromal Cells by Facilitating the Mesenchymal-Epithelial Transition Through Targeting ILK.,35648359
"Versatile Melanin-Like Coatings with Hierarchical Structure toward Personal Thermal Management, Anti-Icing/Deicing, and UV Protection.",36600550
Image-guided radiotherapy in an orthotopic mouse model of rectal cancer.,PMC9547293
Su-MICL: Severity-Guided Multiple Instance Curriculum Learning for Histopathology Image Interpretable Classification.,35786552
Microglial efferocytosis: Diving into the Alzheimer's disease gene pool.,36327897
Acoustofluidic cell micro-dispenser for single cell trajectory control.,35979941
Integrated Clinical Features with Plasma and Multi-modal Neuroimaging Biomarkers to Diagnose Mild Cognitive Impairment in Early Drug-Naive Parkinson's Disease.,36417458
Patterns of body weight change affect weight loss during a multidisciplinary intervention in adolescents with obesity.,36088251
Exploring the contributions of affective constructs and interoceptive awareness to feeling fat.,36261777
Sex- and age-related differences in the rating of perceived exertion after high-intensity rowing exercise during childhood and adolescence.,36939076
Pathological N1/N2 in Clinical Stage I Bronchogenic Carcinoma. Analysis From a Prospective Multicentre Database.,37005150
"Comparison of the risk of infection of human rotavirus and astrovirus according to fishing and swimming activities at Las Cañas beach, Uruguay.",36000509
Repeat Anterior Cruciate Ligament Injury and Return to Sport in Australian Soccer Players After Anterior Cruciate Ligament Reconstruction With Hamstring Tendon Autograft.,36190172
Publisher Correction: Stable inheritance of H3.3-containing nucleosomes during mitotic cell divisions.,PMC9209508
The Impact of Goal-Directed Fluid Therapy on Postoperative Nausea and Vomiting in High-Risk Patients Undergoing Laparoscopic Sleeve Gastrectomy.,36053447
A general chemical principle for creating closure-stabilizing integrin inhibitors.,36113427
Using incorpoRATE to examine clinician willingness to engage in shared decision making: A study of Family Medicine residents.,36088190
Long-term survival in colorectal liver metastasis.,36018430
Association of protein-energy partitioning with body weight and body composition changes in adolescents with severe obesity.,36045150
A Convex Model for Support Vector Distance Metric Learning.,33534716
Vapor Pressure versus Temperature Relations of Common Elements.,PMC9821539
Impedimetric Detection of Calreticulin by a Disposable Immunosensor Modified with a Single-Walled Carbon Nanotube-Conducting Polymer Nanocomposite.,35920068
Machine Learning Approaches to Classify Anatomical Regions in Rodent Brain from High Density Recordings.,36086280
Chirality-Induced Spin Selectivity in Heterochiral Short-Peptide-Carbon-Nanotube Hybrid Networks: Role of Supramolecular Chirality.,36219724
"Experiences of women raising children with congenital Zika syndrome along a trajectory of prevention, care and support in Brazil.",35849617
Simple ultrasensitive electrochemical detection of the DBP plasticizer for the risk assessment of South Korean river waters.,35789346
Severe Obesity in Women Can Lead to Worse Memory Function and Iron Dyshomeostasis Compared to Lower Grade Obesity.,37101600
Is dieting a risk for higher weight gain in normal-weight individual? A systematic review and meta-analysis.,36645258
"Secondary metabolites as potential drug candidates against Zika virus, an emerging looming human threat: Current landscape, molecular mechanism and challenges ahead.",36958171
